Occupation,Owns_House,Relationship_Type_Pookie,Family_Structure,Number_of_Vehicles_Owned,Gym_Category,Owns_Land,Land_Legal_Dispute,Personality_Type,Rural_or_Urban_Background,Education_Level,Age,Yearly_Inhand_Income_INR,Savings_in_Lakhs,Dahej_Category
Private Job,No,Not Pookie,Joint,1,Obese,No,No,Chill,Shehr ka Launda,12th Pass,24,1650634.0,22.76,0
Private Job,Yes,Not Pookie,Joint,2,Obese,No,No,Chill,Shehr ka Launda,Graduate+,29,854.0,0.0,2
Private Job,Yes,Not Pookie,Nuclear,0,Obese,No,No,Chill,Gaon ka Chhora,Uneducated,32,65462.0,0.0,1
Private Job,No,Not Pookie,Nuclear,0,Passionate,No,No,Chill,Gaon ka Chhora,Uneducated,34,4262789.0,47.29,2
Private Job,No,Not Pookie,Nuclear,3,Obese,No,No,Chill,Gaon ka Chhora,10th Pass,27,11740382.0,120.85,3
Private Job,Yes,Not Pookie,Nuclear,1,Obese,No,No,Virus,Shehr ka Launda,12th Pass,28,56560.0,0.0,0
Unemployed,No,Not Pookie,Nuclear,1,Obese,No,No,Virus,Shehr ka Launda,12th Pass,29,0.0,0.99,0
Private Job,Yes,Not Pookie,Joint,2,Optional,Yes,No,Chill,Gaon ka Chhora,Graduate+,29,414763.0,2.2,4
Unemployed,Yes,Not Pookie,Joint,1,Obese,No,No,Virus,Gaon ka Chhora,12th Pass,28,0.0,1.14,0
Private Job,Yes,Pookie,Joint,6,Passionate,No,No,Chill,Shehr ka Launda,Graduate+,27,28650742.0,306.94,9
Business,No,Not Pookie,Joint,0,Optional,Yes,No,Virus,Gaon ka Chhora,12th Pass,41,433831.0,6.71,2
Private Job,No,Not Pookie,Alone,2,Passionate,No,No,Chill,Gaon ka Chhora,12th Pass,38,8754718.0,96.35,3
Freelancer,No,Not Pookie,Joint,1,Optional,No,No,Chill,Gaon ka Chhora,10th Pass,31,348.0,0.0,1
Private Job,Yes,Not Pookie,Nuclear,4,Obese,No,No,Virus,Shehr ka Launda,Graduate+,30,24029062.0,355.13,6
Business,No,Pookie,Nuclear,2,Passionate,No,No,Chill,Gaon ka Chhora,10th Pass,28,8460206.0,99.93,6
Private Job,Yes,Not Pookie,Nuclear,1,Obese,No,No,Chill,Gaon ka Chhora,12th Pass,26,3253536.0,36.79,2
Business,No,Not Pookie,Joint,0,Optional,No,No,Virus,Shehr ka Launda,10th Pass,34,2590992.0,31.07,2
Private Job,Yes,Not Pookie,Joint,7,Optional,No,No,Chill,Shehr ka Launda,10th Pass,123,25629188.0,373.8,7
Private Job,No,Pookie,Nuclear,1,Obese,No,No,Chill,Gaon ka Chhora,12th Pass,34,3090609.0,41.34,1
Freelancer,Yes,Not Pookie,Alone,1,Passionate,Yes,No,Chill,Shehr ka Launda,12th Pass,23,176635.0,0.08,4
Private Job,Yes,Not Pookie,Joint,0,Optional,No,No,Chill,Shehr ka Launda,Graduate+,25,4598414.0,53.86,3
Government Job,Yes,Not Pookie,Joint,3,Optional,No,No,Chill,Shehr ka Launda,12th Pass,33,926973.0,11.85,4
Business,Yes,Not Pookie,Joint,9,Optional,Yes,No,Virus,Shehr ka Launda,Uneducated,26,49479055.0,700.19,10
Self-employed,Yes,Not Pookie,Nuclear,4,Optional,No,No,Chill,Shehr ka Launda,10th Pass,22,6325677.0,69.38,5
Private Job,No,Not Pookie,Nuclear,1,Optional,No,No,Chill,Gaon ka Chhora,10th Pass,26,26376.0,0.58,1
Business,No,Not Pookie,Alone,3,Optional,No,No,Virus,Shehr ka Launda,Graduate+,23,16676931.0,238.42,6
Business,No,Not Pookie,Joint,1,Passionate,No,No,Virus,Shehr ka Launda,Uneducated,27,1456984.0,23.44,3
Self-employed,No,NotPookiex,Joint,0,Passionate,No,No,Chill,,10th Pass,29,53.0,0.18,2
Business,Yes,Not Pookie,Nuclear,1,Obese,No,No,Chill,Shehr ka Launda,12th Pass,32,134.0,0.0,3
Business,No,Not Pookie,Joint,2,Optional,No,No,Virus,Shehr ka Launda,Graduate+,36,13053142.0,194.53,4
Business,No,Not Pookie,Nuclear,3,Optional,Yes,No,Chill,Gaon ka Chhora,12th Pass,33,17926923.0,236.86,8
Private Job,Yes,Not Pookie,Nuclear,1,Optional,No,No,Chill,Gaon ka Chhora,12th Pass,25,148481.0,3.37,2
Private Job,No,Not Pookie,Nuclear,1,Optional,No,No,Chill,Gaon ka Chhora,10th Pass,28,104860.0,2.73,1
Freelancer,No,Not Pookie,Joint,0,Obese,Yes,No,Chill,Shehr ka Launda,10th Pass,28,4547182.0,50.18,3
Freelancer,No,Not Pookie,Joint,0,Optional,No,No,Chill,Shehr ka Launda,Uneducated,26,127357.0,1.22,1
Private Job,Yes,Not Pookie,Nuclear,2,Optional,No,No,Virus,Shehr ka Launda,12th Pass,34,1465443.0,25.38,2
Self-employed,Yes,Not Pookie,Nuclear,8,Obese,No,No,Chill,Gaon ka Chhora,Graduate+,29,40810170.0,493.79,10
Private Job,Yes,Not Pookie,Joint,3,Optional,No,No,Virus,Shehr ka Launda,12th Pass,26,18618.0,4.13,1
N/A,No,Pookie,Nuclear,1,Optional,No,No,Virus,Gaon ka Chhora,12th Pass,30,285.0,0.89,0
Self-employed,No,Not Pookie,Nuclear,0,Optional,No,No,Virus,Gaon ka Chhora,Graduate+,25,694625.0,8.35,1
Unemployed,No,Not Pookie,Alone,0,Optional,No,No,Virus,Gaon ka Chhora,Graduate+,28,0.0,0.0,0
Private Job,,Not Pookie,Nuclear,2,Optional,No,No,N/A,Gaon ka Chhora,Graduate+,31,10649519.0,141.71,3
Freelancer,Yes,Pookie,Nuclear,7,Obese,Yes,No,Virus,Gaon ka Chhora,Graduate+,34,37929151.0,549.36,10
Private Job,Yes,Not Pookie,Nuclear,11,??,No,"['weird', 123]",Chill,Gaon ka Chhora,12th Pass,30,49616213.0,585.14,9
Private Job,Yes,Not Pookie,Nuclear,8,Optional,No,No,Chill,Gaon ka Chhora,12th Pass,28,39077640.0,487.33,9
Freelancer,No,Not Pookie,Nuclear,6,Passionate,No,No,Virus,Shehr ka Launda,Graduate+,21,25783690.0,373.65,6
Private Job,Yes,Pookie,Joint,5,Optional,No,No,Chill,Shehr ka Launda,Graduate+,25,29531854.0,368.83,8
Private Job,Yes,Not Pookie,Nuclear,1,Optional,No,No,Virus,Gaon ka Chhora,12th Pass,31,3934572.0,44.48,2
Business,No,Not Pookie,Joint,10,Optional,No,No,Chill,Shehr ka Launda,Uneducated,28,46002692.0,615.21,10
Unemployed,Yes,Not Pookie,Nuclear,1,Obese,Yes,No,Virus,Shehr ka Launda,Graduate+,27,0.0,0.56,0
Unemployed,Yes,Not Pookie,Nuclear,0,Optional,Yes,No,Chill,Gaon ka Chhora,Graduate+,26,0.0,0.0,1
Private Job,No,Not Pookie,Alone,6,Optional,No,No,Virus,Shehr ka Launda,10th Pass,31,29850850.0,303.18,6
Self-employed,No,Not Pookie,Joint,2,Optional,No,No,Chill,Shehr ka Launda,Graduate+,18,10025403.0,140.56,4
Private Job,No,Not Pookie,Nuclear,0,Passionate,No,No,Chill,Gaon ka Chhora,12th Pass,28,14023.0,0.0,1
Private Job,No,Not Pookie,Joint,0,Obese,No,No,Virus,Shehr ka Launda,12th Pass,21,2353136.0,19.65,0
Private Job,Yes,Not Pookie,Joint,0,Optional,Yes,No,Chill,Shehr ka Launda,12th Pass,28,448434.0,5.0,3
Freelancer,No,Not Pookie,Nuclear,8,Optional,No,No,Chill,Gaon ka Chhora,10th Pass,32,29364763.0,359.47,7
Business,Yes,Not Pookie,Joint,2,Optional,No,No,Chill,Shehr ka Launda,Graduate+,30,190634.0,5.83,4
Government Job,No,Not Pookie,Joint,2,Obese,No,No,Chill,Shehr ka Launda,Graduate+,29,7935823.0,86.24,5
Freelancer,No,Pookie,Alone,0,Obese,No,No,Chill,Gaon ka Chhora,12th Pass,23,1503368.0,19.88,1
Private Job,Yes,Not Pookie,Nuclear,1,Obese,Yes,No,Chill,Gaon ka Chhora,Graduate+,28,115099.0,1.49,3
Private Job,No,Not Pookie,Nuclear,5,Passionate,No,No,Chill,Shehr ka Launda,Graduate+,30,16364022.0,206.15,6
Private Job,No,Not Pookie,Alone,10,Obese,Yes,No,Virus,Gaon ka Chhora,12th Pass,27,47916513.0,561.73,8
Unemployed,No,Not Pookie,Joint,2,Optional,No,No,Chill,Gaon ka Chhora,10th Pass,27,0.0,0.78,0
Private Job,Yes,Not Pookie,Nuclear,8,Passionate,No,No,Chill,Shehr ka Launda,12th Pass,20,37727426.0,377.35,8
Private Job,Yes,Not Pookie,Joint,0,Passionate,No,Yes,Chill,Shehr ka Launda,Graduate+,32,25906.0,0.4,1
Self-employed,Yes,Not Pookie,Joint,1,Obese,Yes,No,Virus,Gaon ka Chhora,12th Pass,18,3293915.0,41.22,2
Freelancer,Yes,Not Pookie,Joint,5,Passionate,No,No,Chill,Gaon ka Chhora,Graduate+,23,29205624.0,342.78,8
Private Job,Yes,Not Pookie,Alone,4,Obese,No,No,Virus,Gaon ka Chhora,12th Pass,37,4945842.0,52.35,2
Government Job,No,Not Pookie,Nuclear,3,Optional,No,No,Virus,Shehr ka Launda,Graduate+,22,1647350.0,19.34,2
Government Job,Yes,Not Pookie,Nuclear,0,Optional,No,No,Chill,Shehr ka Launda,Graduate+,34,222383.0,2.07,4
Private Job,No,Not Pookie,Jointx,1,Optional,No,No,Chill,Gaon ka Chhora,12th Pass,31,7611674.0,1000000000,3
Business,No,Not Pookie,Joint,1,Optional,No,No,Chill,Shehr ka Launda,12th Pass,31,1.0,0.23,2
Business,Yes,Not Pookie,Nuclear,2,Optional,Yes,No,Virus,Gaon ka Chhora,10th Pass,35,45521.0,0.0,4
Government Job,No,Not Pookie,Nuclear,2,Passionate,Yes,No,Chill,Gaon ka Chhora,Graduate+,32,10588368.0,147.85,7
Private Job,No,Not Pookie,Nuclear,2,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,26,4224220.0,59.28,3
Private Job,Yes,Not Pookie,Nuclear,0,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,34,1231703.0,17.83,3
Private Job,Yes,Not Pookie,Joint,1,Obese,No,No,Chill,Shehr ka Launda,Graduate+,31,1045616.0,11.49,2
Private Job,No,Not Pookie,Nuclear,9,Optional,No,No,Virus,Shehr ka Launda,10th Pass,32,35534229.0,476.44,7
Freelancer,Yes,Not Pookie,Joint,1,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,18,192571.0,2.91,2
Unemployed,Yes,Not Pookie,Nuclear,2,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,21,0.0,3.27,0
Unemployed,Yes,Pookie,Nuclear,1,Obese,No,Yes,Virus,Shehr ka Launda,Graduate+,22,0.0,2.6,0
Private Job,Yes,Not Pookie,Nuclear,2,Obese,No,No,Chill,Gaon ka Chhora,Graduate+,27,6089247.0,87.91,4
Freelancer,No,Not Pookie,Nuclear,10,Obese,No,No,Chill,Gaon ka Chhora,Graduate+,29,48980365.0,674.6,8
Unemployed,No,Pookie,Joint,0,Optional,No,No,Chill,Shehr ka Launda,Graduate+,26,0.0,0.0,0
Unemployed,Yes,Not Pookie,Joint,3,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,25,0.0,0.0,1
Unemployed,No,Not Pookie,Nuclear,0,Passionate,No,No,Virus,Gaon ka Chhora,10th Pass,30,0.0,0.0,0
Business,No,Not Pookie,Alone,1,Optional,Yes,No,Chill,Shehr ka Launda,12th Pass,30,1336630.0,13.68,4
Self-employed,Yes,Not Pookie,Nuclear,2,Obese,No,No,Chill,Gaon ka Chhora,12th Pass,31,1.0,0.0,3
Private Job,No,Not Pookie,Nuclear,0,Passionate,No,No,Chill,Gaon ka Chhora,Graduate+,32,980126.0,14.64,1
Freelancer,Yes,Not Pookie,Nuclear,4,Passionate,No,No,Virus,Gaon ka Chhora,10th Pass,28,22353949.0,299.2,6
Private Job,Yes,Pookie,Nuclear,0,Optional,Yes,No,Virus,Shehr ka Launda,12th Pass,28,4637687.0,64.02,4
Private Job,Yes,Not Pookie,Nuclear,4,Optional,No,No,Chill,Shehr ka Launda,12th Pass,30,12761332.0,150.46,5
Freelancer,Yes,Not Pookie,Joint,0,Passionate,No,No,Chill,Shehr ka Launda,10th Pass,30,357826.0,3.38,3
Private Job,No,Not Pookie,Joint,8,Optional,No,No,Virus,Gaon ka Chhora,Uneducated,23,40753465.0,487.26,6
Government Job,No,Not Pookie,Nuclear,7,Optional,No,No,Chill,Gaon ka Chhora,12th Pass,32,36126749.0,414.58,9
Private Job,Yes,Not Pookie,Alone,4,Optional,No,No,Chill,Shehr ka Launda,Graduate+,26,22735538.0,249.16,7
Private Job,Yes,five lakh,Alone,4,Passionate,No,No,Virus,Shehr ka Launda,10th Pass,30,15045489.0,180.05,6
Private Job,No,Not Pookie,Joint,4,Optional,No,No,Virus,Shehr ka Launda,10th Pass,18,19108427.0,220.92,3
Business,No,Not Pookie,Joint,4,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,24,13178695.0,193.56,5
Freelancer,No,Not Pookie,Joint,0,Optional,Yes,No,Chill,Gaon ka Chhora,12th Pass,31,239223.0,1.62,3
Government Job,Yes,Not Pookie,Joint,2,Optional,No,No,Chill,Shehr ka Launda,12th Pass,30,980587.0,7.39,4
Self-employed,No,Not Pookie,Joint,4,Optional,Yes,No,Chill,Shehr ka Launda,12th Pass,21,8376211.0,114.06,6
Private Job,No,Not Pookie,Nuclear,4,Obese,No,No,Chill,Gaon ka Chhora,10th Pass,24,22650771.0,283.98,4
Private Job,No,Pookie,Alone,1,Optional,No,No,Chill,Gaon ka Chhora,12th Pass,28,4597595.0,64.88,2
Business,Yes,Not Pookie,Alone,12,Passionate,No,No,Chill,Gaon ka Chhora,Graduate+,27,48569937.0,546.84,10
Self-employed,No,Not Pookie,Nuclear,0,Optional,No,No,Chill,Gaon ka Chhora,12th Pass,25,1321661.0,15.57,2
Business,Yes,Not Pookie,Nuclear,2,Passionate,No,Yes,Chill,Shehr ka Launda,12th Pass,30,1934945.0,30.67,3
Private Job,No,Not Pookie,Nuclear,9,Optional,No,No,Chill,Gaon ka Chhora,12th Pass,35,40140157.0,500.09,8
Unemployed,No,Not Pookie,Nuclear,0,Optional,No,No,Chill,Gaon ka Chhora,12th Pass,27,0.0,1.88,0
Private Job,Yes,Not Pookie,Joint,1,Obese,Yes,No,Chill,Shehr ka Launda,Graduate+,23,6124555.0,67.43,5
Business,Yes,Not Pookie,Nuclear,1,Obese,No,No,Chill,Shehr ka Launda,Graduate+,40,88502.0,0.0,3
Private Job,Yes,Not Pookie,Nuclear,9,Obese,Yes,No,Chill,Gaon ka Chhora,12th Pass,33,36923540.0,486.45,10
Private Job,Yes,Not Pookie,Nuclear,1,Optional,No,Yes,Chill,Shehr ka Launda,Graduate+,33,33177.0,0.0,1
Freelancer,Yes,Pookie,Joint,6,Optional,No,No,Chill,Gaon ka Chhora,Uneducated,21,33023855.0,428.5,9
Self-employed,No,Not Pookie,Alone,2,Optional,No,No,Chill,Shehr ka Launda,12th Pass,33,171073.0,3.43,2
Private Job,No,Not Pookie,Joint,6,Passionate,No,No,Chill,Shehr ka Launda,Graduate+,31,25959093.0,340.8,7
Private Job,Yes,Not Pookie,Nuclear,7,Obese,Yes,No,Chill,Gaon ka Chhora,Graduate+,28,34708934.0,501.61,10
Self-employed,Yes,Pookie,Joint,1,Optional,No,No,Chill,Shehr ka Launda,10th Pass,31,42442.0,3.38,3
Private Job,Yes,Not Pookie,Joint,7,Optional,No,Yes,Virus,Gaon ka Chhora,Graduate+,21,25080064.0,312.52,5
Private Job,Yes,Not Pookie,Joint,2,Passionate,No,No,Chill,Shehr ka Launda,Graduate+,27,8848026.0,132.42,5
Private Job,Yes,Not Pookie,Nuclear,11,Optional,No,No,Chill,Shehr ka Launda,10th Pass,24,47391725.0,706.32,8
Private Job,No,Pookie,Nuclear,0,Optional,No,No,Chill,Gaon ka Chhora,12th Pass,28,52796.0,0.0,1
Private Job,No,Not Pookie,Nuclear,4,Optional,No,No,Chill,Shehr ka Launda,10th Pass,26,22207597.0,272.01,5
Private Job,Yes,Not Pookie,Nuclear,6,Obese,No,No,Chill,Gaon ka Chhora,10th Pass,32,30935534.0,435.9,8
Unemployed,No,Not Pookie,Nuclear,1,Passionate,No,No,Chill,Gaon ka Chhora,Graduate+,21,0.0,0.25,0
Private Job,Nox,Not Pookie,Nuclear,1,Optional,No,No,Chill,Shehr ka Launda,Graduate+,22,257677.0,2.94,1
Private Job,No,five lakh,Nuclear,6,Optional,No,No,Chill,Shehr ka Launda,10th Pass,-237,31464592.0,343.85,8
Private Job,No,Not Pookie,Nuclear,2,Optional,No,No,Chill,Gaon ka Chhora,12th Pass,20,9479533.0,94.45,2
Private Job,No,Not Pookie,Joint,7,Obese,No,No,Chill,Gaon ka Chhora,12th Pass,27,13085719.0,192.94,4
Business,No,Not Pookie,Joint,3,Optional,No,No,Virus,Gaon ka Chhora,10th Pass,28,13444251.0,140.57,4
Business,No,Not Pookie,Joint,0,Obese,Yes,No,Chill,Gaon ka Chhora,12th Pass,35,1928.0,0.0,3
Private Job,No,Not Pookie,Nuclear,4,Obese,No,No,Chill,Shehr ka Launda,10th Pass,25,12557173.0,130.92,3
Private Job,Yes,Not Pookie,12th Pass,1000000000,Optional,No,No,Chill,Gaon ka Chhora,Nuclear,28,NULL,136.3,5
Private Job,Yes,Not Pookie,Joint,10,Optional,Yes,Yes,Virus,Shehr ka Launda,Graduate+,20,36791925.0,375.01,7
Freelancer,Yes,Not Pookie,Alone,1,Passionate,Yes,No,Chill,Shehr ka Launda,Graduate+,28,3572204.0,43.79,5
Private Job,No,Not Pookie,Nuclear,2,Optional,No,Yes,Chill,Gaon ka Chhora,Graduate+,32,1917874.0,19.79,1
Business,Yes,Not Pookie,Joint,1,Passionate,No,No,Chill,Shehr ka Launda,Graduate+,21,740235.0,8.43,4
Freelancer,Yes,Pookie,Nuclear,7,Passionate,No,No,Chill,Gaon ka Chhora,12th Pass,26,31372304.0,378.15,10
Freelancer,No,Pookie,Nuclear,5,Passionate,No,No,Virus,Gaon ka Chhora,12th Pass,24,28636817.0,363.03,6
Business,Yes,Pookie,Joint,11,Optional,No,No,Chill,Gaon ka Chhora,12th Pass,31,49818833.0,695.76,10
Private Job,No,Not Pookie,Joint,8,Optional,No,No,Chill,Shehr ka Launda,Uneducated,24,41794838.0,536.77,7
Private Job,Yes,Not Pookie,Joint,1,Optional,No,No,Chill,Shehr ka Launda,Graduate+,37,847468.0,8.27,2
Unemployed,No,Pookie,Joint,0,Optional,Yes,No,Chill,Gaon ka Chhora,Graduate+,22,0.0,0.0,0
Private Job,Yes,Not Pookie,Joint,3,Obese,No,No,Virus,Gaon ka Chhora,12th Pass,24,5098.0,0.89,0
Self-employed,Yes,Not Pookie,Nuclear,7,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,29,31229924.0,369.7,10
Private Job,No,Not Pookie,Nuclear,2,Optional,No,No,Virus,Gaon ka Chhora,12th Pass,21,48820.0,0.0,0
Private Job,Yes,Not Pookie,Alone,2,Passionate,No,No,Chill,Shehr ka Launda,Graduate+,31,10171.0,0.0,3
Business,No,Not Pookie,Joint,1,Obese,No,No,Chill,Shehr ka Launda,Graduate+,23,6573111.0,69.46,4
Business,Yes,Not Pookie,Joint,1,Optional,No,No,Chill,Shehr ka Launda,10th Pass,28,104.0,2.1,4
Business,Yes,Not Pookie,Nuclear,5,Obese,No,No,Virus,Shehr ka Launda,12th Pass,20,17845425.0,238.36,6
Private Job,Yes,Pookie,Joint,5,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,33,10608516.0,150.43,6
Self-employed,Yes,Not Pookie,Nuclear,2,Obese,Yes,No,Virus,Gaon ka Chhora,Graduate+,32,5940468.0,83.69,6
Business,Yes,Not Pookie,Nuclear,2,Optional,No,No,Chill,Shehr ka Launda,10th Pass,28,5204964.0,54.0,6
Business,Yes,Not Pookie,Nuclear,4,Obese,Yes,No,Chill,Shehr ka Launda,Uneducated,26,22043488.0,245.52,9
Unemployed,Yes,Not Pookie,Joint,0,Passionate,Yes,No,Chill,Shehr ka Launda,12th Pass,26,0.0,0.04,1
Private Job,No,Not Pookie,Nuclear,2,Optional,No,No,Chill,Shehr ka Launda,12th Pass,25,9535932.0,110.17,3
Private Job,Yes,Not Pookie,Joint,6,Obese,No,No,Virus,Shehr ka Launda,12th Pass,33,33193796.0,498.64,8
Self-employed,Yes,Not Pookie,Joint,"['weird', 123]",99999,Yes,No,Chill,Gaon ka Chhora,1000000000000,29,37939.0,2.67,5
Government Job,Yes,Pookie,Joint,2,Optional,No,No,Virus,Shehr ka Launda,12th Pass,21,8989062.0,118.98,5
Private Job,No,Not Pookie,Joint,1,Obese,No,No,Chill,Gaon ka Chhora,Graduate+,29,4900522.0,52.94,2
Business,Yes,Not Pookie,Nuclear,0,Obese,No,No,Chill,Gaon ka Chhora,12th Pass,29,3446.0,0.0,3
Private Job,No,Not Pookie,Nuclear,5,Optional,No,No,Chill,Shehr ka Launda,12th Pass,30,17660197.0,211.0,5
Freelancer,No,Not Pookie,Joint,0,Optional,No,No,Chill,Gaon ka Chhora,Uneducated,32,3419020.0,47.58,2
Unemployed,No,Pookie,Nuclear,1,Optional,Yes,No,Chill,Shehr ka Launda,12th Pass,24,0.0,0.0,0
Private Job,Yes,Not Pookie,Nuclear,1,Obese,No,No,Chill,Gaon ka Chhora,10th Pass,28,4620613.0,67.63,2
Private Job,Yes,Pookie,Alone,1,Passionate,No,No,Chill,Gaon ka Chhora,12th Pass,25,68869.0,0.18,3
Business,Yes,Not Pookie,Alone,2,Obese,No,Yes,Chill,Shehr ka Launda,12th Pass,21,7687165.0,103.97,4
Private Job,No,Not Pookie,Nuclear,0,Obese,No,No,Chill,Shehr ka Launda,Uneducated,22,1914686.0,21.34,0
Freelancer,Yes,Not Pookie,Joint,5,Optional,Yes,No,Chill,Shehr ka Launda,12th Pass,21,27283234.0,317.53,9
Private Job,No,Not Pookie,Joint,0,Obese,No,No,Chill,Gaon ka Chhora,Graduate+,32,4450815.0,45.19,1
Private Job,Yes,Not Pookie,Joint,1,Obese,No,No,Chill,Shehr ka Launda,Graduate+,28,5881204.0,58.11,4
Private Job,Yes,Not Pookie,Nuclear,0,Obese,No,No,Virus,Gaon ka Chhora,10th Pass,29,4774164.0,57.49,1
Private Job,No,Not Pookie,Alone,3,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,31,17644357.0,197.97,5
Private Job,No,Not Pookie,Nuclear,0,Passionate,No,No,Chill,Shehr ka Launda,12th Pass,30,310088.0,3.58,1
Business,Yes,Not Pookie,Alone,0,Obese,No,No,Chill,Gaon ka Chhora,Graduate+,23,3382952.0,45.67,3
Unemployed,Yes,Not Pookie,Nuclear,0,Optional,No,No,Virus,Gaon ka Chhora,12th Pass,29,0.0,3.6,0
Freelancer,Yes,Not Pookie,Nuclear,6,Obese,No,No,Chill,Gaon ka Chhora,Graduate+,31,27172642.0,304.83,8
Self-employed,Yes,Not Pookie,Nuclear,4,Obese,No,No,Virus,Shehr ka Launda,Graduate+,30,21164202.0,303.78,7
Self-employed,Yes,Not Pookie,Nuclear,0,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,26,3192448.0,40.69,4
Government Job,No,Not Pookie,Joint,0,Obese,No,No,Chill,Shehr ka Launda,12th Pass,35,1850484.0,18.92,2
Private Job,No,Not Pookie,Joint,1,Passionate,No,No,Chill,Gaon ka Chhora,Graduate+,27,9036454.0,104.33,4
Business,Yes,Not Pookie,Joint,3,Optional,Yes,No,Chill,Shehr ka Launda,Graduate+,34,565168.0,8.97,6
Freelancer,Yes,Not Pookie,Joint,1,Optional,No,No,Chill,Gaon ka Chhora,12th Pass,28,58259.0,0.36,2
Unemployed,Yes,Not Pookie,Joint,1,Passionate,No,No,Chill,Gaon ka Chhora,10th Pass,29,0.0,0.22,0
Private Job,Yes,Pookie,Nuclear,0,Optional,No,No,Chill,Shehr ka Launda,12th Pass,28,1621770.0,23.63,3
Private Job,Yes,Not Pookie,Joint,1,Obese,No,No,Virus,Gaon ka Chhora,Graduate+,20,3500208.0,42.18,0
Business,Yes,Not Pookie,Joint,0,Optional,No,No,Chill,Shehr ka Launda,Uneducated,27,3057072.0,45.1,4
Private Job,No,Not Pookie,Nuclear,0,Passionate,No,No,Chill,Gaon ka Chhora,12th Pass,36,331258.0,2.85,0
Private Job,No,Not Pookie,Nuclear,0,Obese,No,No,Virus,Shehr ka Launda,10th Pass,26,4221375.0,56.25,0
Freelancer,Yes,Not Pookie,Nuclear,3,Obese,No,No,Chill,Shehr ka Launda,12th Pass,19,13795630.0,166.97,3
Private Job,Yes,Not Pookie,Nuclear,1,Passionate,No,No,Virus,Shehr ka Launda,10th Pass,39,6443318.0,93.19,3
Private Job,Yes,Not Pookie,Joint,0,Optional,No,No,Virus,Gaon ka Chhora,Graduate+,25,2103581.0,23.93,2
Private Job,Yes,Not Pookie,Nuclear,1,Optional,No,No,Chill,Gaon ka Chhora,12th Pass,31,1701.0,1.69,2
Self-employed,Yes,Not Pookie,Nuclear,0,Passionate,No,No,Chill,Gaon ka Chhora,1000000000,"['weird', 123]",??,9.14,3
Self-employed,No,Not Pookie,Joint,5,Obese,No,No,Chill,Gaon ka Chhora,12th Pass,24,27340249.0,328.73,6
Freelancer,Yes,Not Pookie,Joint,1,,No,No,Chill,Shehr ka Launda,,31,11265.0,0.81,3
Self-employed,Yes,Not Pookie,Joint,N/A,Obese,No,No,Virus,Shehr ka Launda,12th Pass,"['weird', 123]",25577184.0,338.29,7
Private Job,Yes,Not Pookie,Nuclear,7,Passionate,No,No,Chill,Shehr ka Launda,Graduate+,21,32619929.0,479.52,9
Freelancer,No,Not Pookie,Joint,0,Obese,No,No,Virus,Shehr ka Launda,10th Pass,21,1184624.0,10.47,0
Government Job,Yes,Not Pookie,Joint,1,Obese,Yes,No,Chill,Shehr ka Launda,12th Pass,30,2585858.0,29.57,5
Freelancer,No,Not Pookie,Nuclear,1,Obese,No,No,Chill,Shehr ka Launda,Graduate+,19,2823717.0,36.97,1
Private Job,No,Not Pookie,Nuclear,9,Obese,No,No,Virus,Shehr ka Launda,Graduate+,21,41823397.0,475.18,6
Private Job,Yes,Not Pookie,Alone,0,Obese,No,No,Chill,Gaon ka Chhora,10th Pass,29,435079.0,0.65,1
Freelancer,No,Not Pookie,Nuclear,4,Passionate,No,No,Chill,Shehr ka Launda,12th Pass,27,17038383.0,244.5,6
Private Job,No,Not Pookie,Joint,6,Obese,No,No,Chill,Shehr ka Launda,12th Pass,24,32048337.0,373.21,7
Private Job,No,Not Pookie,Joint,6,Passionate,No,No,Chill,Shehr ka Launda,12th Pass,26,23546858.0,267.12,6
Freelancer,No,Not Pookie,Nuclear,3,Optional,No,No,Chill,Shehr ka Launda,10th Pass,24,11754504.0,148.55,3
Unemployed,No,Not Pookie,Alone,0,Optional,No,No,Chill,Gaon ka Chhora,Uneducated,26,0.0,0.0,0
Business,Yes,Not Pookie,Nuclear,1,Optional,No,No,Virus,Gaon ka Chhora,10th Pass,23,10541.0,1.87,2
Unemployed,Yes,Not Pookie,Joint,0,Passionate,No,No,Chill,Gaon ka Chhora,Graduate+,23,0.0,0.0,0
Private Job,No,Not Pookie,Joint,8,Optional,No,Yes,Chill,Shehr ka Launda,Uneducated,30,29922644.0,387.84,5
Private Job,Yes,Not Pookie,Joint,3,Obese,Yes,No,Chill,Gaon ka Chhora,Graduate+,30,266573.0,3.29,4
Government Job,Yes,Pookie,Nuclear,0,Obese,No,No,Chill,Gaon ka Chhora,Graduate+,30,1098689.0,14.26,4
